sensor_id,timestamp,flow_rate_m3s,velocity_ms,status
FR001,2025-04-29T20:39:21.151813,44.38,2.22,flood
FR001,2025-04-29T21:09:21.151813,19.96,1.0,normal
FR001,2025-04-29T21:39:21.151813,20.47,1.02,normal
FR001,2025-04-29T22:09:21.151813,19.18,0.96,normal
FR001,2025-04-29T22:39:21.151813,22.31,1.12,normal
FR001,2025-04-29T23:09:21.151813,21.65,1.08,normal
FR001,2025-04-29T23:39:21.151813,17.93,0.9,normal
FR001,2025-04-30T00:09:21.151813,21.38,1.07,normal
FR001,2025-04-30T00:39:21.151813,18.88,0.94,normal
FR001,2025-04-30T01:09:21.151813,20.66,1.03,normal
FR001,2025-04-30T01:39:21.151813,18.55,0.93,normal
FR001,2025-04-30T02:09:21.151813,19.92,1.0,normal
FR001,2025-04-30T02:39:21.151813,18.48,0.92,normal
FR001,2025-04-30T03:09:21.151813,19.72,0.99,normal
FR001,2025-04-30T03:39:21.151813,19.29,0.96,normal
FR001,2025-04-30T04:09:21.151813,22.43,1.12,normal
FR001,2025-04-30T04:39:21.151813,24.11,1.21,normal
FR001,2025-04-30T05:09:21.151813,20.9,1.04,normal
FR001,2025-04-30T05:39:21.151813,15.36,0.77,normal
FR001,2025-04-30T06:09:21.151813,21.26,1.06,normal
FR001,2025-04-30T06:39:21.151813,19.16,0.96,normal
FR001,2025-04-30T07:09:21.151813,18.44,0.92,normal
FR001,2025-04-30T07:39:21.151813,17.84,0.89,normal
FR001,2025-04-30T08:09:21.151813,21.34,1.07,normal
FR001,2025-04-30T08:39:21.151813,27.92,1.4,high
FR001,2025-04-30T09:09:21.151813,18.53,0.93,normal
FR001,2025-04-30T09:39:21.151813,18.29,0.91,normal
FR001,2025-04-30T10:09:21.151813,17.2,0.86,normal
FR001,2025-04-30T10:39:21.151813,16.39,0.82,normal
FR001,2025-04-30T11:09:21.151813,18.62,0.93,normal
FR001,2025-04-30T11:39:21.151813,18.92,0.95,normal
FR001,2025-04-30T12:09:21.151813,19.62,0.98,normal
FR001,2025-04-30T12:39:21.151813,20.33,1.02,normal
FR001,2025-04-30T13:09:21.151813,20.38,1.02,normal
FR001,2025-04-30T13:39:21.151813,18.31,0.92,normal
FR001,2025-04-30T14:09:21.151813,22.71,1.14,normal
FR001,2025-04-30T14:39:21.151813,18.37,0.92,normal
FR001,2025-04-30T15:09:21.151813,20.31,1.02,normal
FR001,2025-04-30T15:39:21.151813,32.69,1.63,high
FR001,2025-04-30T16:09:21.151813,20.34,1.02,normal
FR001,2025-04-30T16:39:21.151813,17.55,0.88,normal
FR001,2025-04-30T17:09:21.151813,18.55,0.93,normal
FR001,2025-04-30T17:39:21.151813,21.43,1.07,normal
FR001,2025-04-30T18:09:21.151813,43.09,2.15,flood
FR001,2025-04-30T18:39:21.151813,21.3,1.06,normal
FR001,2025-04-30T19:09:21.151813,23.06,1.15,normal
FR001,2025-04-30T19:39:21.151813,22.65,1.13,normal
FR001,2025-04-30T20:09:21.151813,21.83,1.09,normal
FR001,2025-04-30T20:39:21.151813,21.2,1.06,normal
FR001,2025-04-30T21:09:21.151813,19.74,0.99,normal
FR001,2025-04-30T21:39:21.151813,19.84,0.99,normal
FR001,2025-04-30T22:09:21.151813,19.87,0.99,normal
FR001,2025-04-30T22:39:21.151813,18.51,0.93,normal
FR001,2025-04-30T23:09:21.151813,23.64,1.18,normal
FR001,2025-04-30T23:39:21.151813,24.15,1.21,normal
FR001,2025-05-01T00:09:21.151813,18.28,0.91,normal
FR001,2025-05-01T00:39:21.151813,20.56,1.03,normal
FR001,2025-05-01T01:09:21.151813,19.96,1.0,normal
FR001,2025-05-01T01:39:21.151813,18.02,0.9,normal
FR001,2025-05-01T02:09:21.151813,22.74,1.14,normal
FR001,2025-05-01T02:39:21.151813,18.35,0.92,normal
FR001,2025-05-01T03:09:21.151813,18.47,0.92,normal
FR001,2025-05-01T03:39:21.151813,21.04,1.05,normal
FR001,2025-05-01T04:09:21.151813,21.75,1.09,normal
FR001,2025-05-01T04:39:21.151813,19.78,0.99,normal
FR001,2025-05-01T05:09:21.151813,38.58,1.93,high
FR001,2025-05-01T05:39:21.151813,20.87,1.04,normal
FR001,2025-05-01T06:09:21.151813,21.83,1.09,normal
FR001,2025-05-01T06:39:21.151813,15.54,0.78,normal
FR001,2025-05-01T07:09:21.151813,15.25,0.76,normal
FR001,2025-05-01T07:39:21.151813,23.88,1.19,normal
FR001,2025-05-01T08:09:21.151813,19.41,0.97,normal
FR001,2025-05-01T08:39:21.151813,18.98,0.95,normal
FR001,2025-05-01T09:09:21.151813,18.51,0.93,normal
FR001,2025-05-01T09:39:21.151813,14.71,0.74,normal
FR001,2025-05-01T10:09:21.151813,17.22,0.86,normal
FR001,2025-05-01T10:39:21.151813,19.19,0.96,normal
FR001,2025-05-01T11:09:21.151813,18.89,0.94,normal
FR001,2025-05-01T11:39:21.151813,18.57,0.93,normal
FR001,2025-05-01T12:09:21.151813,17.75,0.89,normal
FR001,2025-05-01T12:39:21.151813,17.54,0.88,normal
FR001,2025-05-01T13:09:21.151813,19.58,0.98,normal
FR001,2025-05-01T13:39:21.151813,22.41,1.12,normal
FR001,2025-05-01T14:09:21.151813,17.42,0.87,normal
FR001,2025-05-01T14:39:21.151813,21.53,1.08,normal
FR001,2025-05-01T15:09:21.151813,22.37,1.12,normal
FR001,2025-05-01T15:39:21.151813,21.38,1.07,normal
FR001,2025-05-01T16:09:21.151813,19.8,0.99,normal
FR001,2025-05-01T16:39:21.151813,21.85,1.09,normal
FR001,2025-05-01T17:09:21.151813,17.25,0.86,normal
FR001,2025-05-01T17:39:21.151813,17.51,0.88,normal
FR001,2025-05-01T18:09:21.151813,18.23,0.91,normal
FR001,2025-05-01T18:39:21.151813,18.97,0.95,normal
FR001,2025-05-01T19:09:21.151813,19.18,0.96,normal
FR001,2025-05-01T19:39:21.151813,20.35,1.02,normal
FR001,2025-05-01T20:09:21.151813,21.69,1.08,normal
FR001,2025-05-01T20:39:21.151813,19.76,0.99,normal
FR001,2025-05-01T21:09:21.151813,16.35,0.82,normal
FR001,2025-05-01T21:39:21.151813,20.31,1.02,normal
FR001,2025-05-01T22:09:21.151813,35.18,1.76,high
FR001,2025-05-01T22:39:21.151813,17.53,0.88,normal
FR001,2025-05-01T23:09:21.151813,20.0,1.0,normal
FR001,2025-05-01T23:39:21.151813,18.79,0.94,normal
FR001,2025-05-02T00:09:21.151813,16.43,0.82,normal
FR001,2025-05-02T00:39:21.151813,15.19,0.76,normal
FR001,2025-05-02T01:09:21.151813,20.09,1.0,normal
FR001,2025-05-02T01:39:21.151813,19.16,0.96,normal
FR001,2025-05-02T02:09:21.151813,19.19,0.96,normal
FR001,2025-05-02T02:39:21.151813,22.22,1.11,normal
FR001,2025-05-02T03:09:21.151813,19.87,0.99,normal
FR001,2025-05-02T03:39:21.151813,43.96,2.2,flood
FR001,2025-05-02T04:09:21.151813,19.99,1.0,normal
FR001,2025-05-02T04:39:21.151813,17.63,0.88,normal
FR001,2025-05-02T05:09:21.151813,18.09,0.9,normal
FR001,2025-05-02T05:39:21.151813,18.21,0.91,normal
FR001,2025-05-02T06:09:21.151813,17.12,0.86,normal
FR001,2025-05-02T06:39:21.151813,19.68,0.98,normal
FR001,2025-05-02T07:09:21.151813,19.88,0.99,normal
FR001,2025-05-02T07:39:21.151813,20.35,1.02,normal
FR001,2025-05-02T08:09:21.151813,17.71,0.89,normal
FR001,2025-05-02T08:39:21.151813,18.7,0.94,normal
FR001,2025-05-02T09:09:21.151813,19.72,0.99,normal
FR001,2025-05-02T09:39:21.151813,20.26,1.01,normal
FR001,2025-05-02T10:09:21.151813,21.96,1.1,normal
FR001,2025-05-02T10:39:21.151813,15.78,0.79,normal
FR001,2025-05-02T11:09:21.151813,17.7,0.89,normal
FR001,2025-05-02T11:39:21.151813,20.36,1.02,normal
FR001,2025-05-02T12:09:21.151813,18.79,0.94,normal
FR001,2025-05-02T12:39:21.151813,13.42,0.67,normal
FR001,2025-05-02T13:09:21.151813,19.23,0.96,normal
FR001,2025-05-02T13:39:21.151813,16.27,0.81,normal
FR001,2025-05-02T14:09:21.151813,16.87,0.84,normal
FR001,2025-05-02T14:39:21.151813,20.97,1.05,normal
FR001,2025-05-02T15:09:21.151813,15.62,0.78,normal
FR001,2025-05-02T15:39:21.151813,18.12,0.91,normal
FR001,2025-05-02T16:09:21.151813,19.44,0.97,normal
FR001,2025-05-02T16:39:21.151813,20.48,1.02,normal
FR001,2025-05-02T17:09:21.151813,18.39,0.92,normal
FR001,2025-05-02T17:39:21.151813,20.01,1.0,normal
FR001,2025-05-02T18:09:21.151813,16.29,0.81,normal
FR001,2025-05-02T18:39:21.151813,18.29,0.91,normal
FR001,2025-05-02T19:09:21.151813,17.3,0.87,normal
FR001,2025-05-02T19:39:21.151813,20.99,1.05,normal
FR001,2025-05-02T20:09:21.151813,21.14,1.06,normal
FR001,2025-05-02T20:39:21.151813,17.02,0.85,normal
FR001,2025-05-02T21:09:21.151813,19.14,0.96,normal
FR001,2025-05-02T21:39:21.151813,21.28,1.06,normal
FR001,2025-05-02T22:09:21.151813,21.46,1.07,normal
FR001,2025-05-02T22:39:21.151813,31.0,1.55,high
FR001,2025-05-02T23:09:21.151813,21.62,1.08,normal
FR001,2025-05-02T23:39:21.151813,20.56,1.03,normal
FR001,2025-05-03T00:09:21.151813,19.66,0.98,normal
FR001,2025-05-03T00:39:21.151813,17.85,0.89,normal
FR001,2025-05-03T01:09:21.151813,20.82,1.04,normal
FR001,2025-05-03T01:39:21.151813,21.24,1.06,normal
FR001,2025-05-03T02:09:21.151813,21.09,1.05,normal
FR001,2025-05-03T02:39:21.151813,15.97,0.8,normal
FR001,2025-05-03T03:09:21.151813,18.39,0.92,normal
FR001,2025-05-03T03:39:21.151813,21.06,1.05,normal
FR001,2025-05-03T04:09:21.151813,19.29,0.96,normal
FR001,2025-05-03T04:39:21.151813,19.85,0.99,normal
FR001,2025-05-03T05:09:21.151813,17.96,0.9,normal
FR001,2025-05-03T05:39:21.151813,22.45,1.12,normal
FR001,2025-05-03T06:09:21.151813,20.64,1.03,normal
FR001,2025-05-03T06:39:21.151813,24.85,1.24,normal
FR001,2025-05-03T07:09:21.151813,18.42,0.92,normal
FR001,2025-05-03T07:39:21.151813,16.8,0.84,normal
FR001,2025-05-03T08:09:21.151813,19.05,0.95,normal
FR001,2025-05-03T08:39:21.151813,20.57,1.03,normal
FR001,2025-05-03T09:09:21.151813,21.59,1.08,normal
FR001,2025-05-03T09:39:21.151813,21.38,1.07,normal
FR001,2025-05-03T10:09:21.151813,19.68,0.98,normal
FR001,2025-05-03T10:39:21.151813,15.59,0.78,normal
FR001,2025-05-03T11:09:21.151813,20.95,1.05,normal
FR001,2025-05-03T11:39:21.151813,21.12,1.06,normal
FR001,2025-05-03T12:09:21.151813,17.34,0.87,normal
FR001,2025-05-03T12:39:21.151813,20.83,1.04,normal
FR001,2025-05-03T13:09:21.151813,18.71,0.94,normal
FR001,2025-05-03T13:39:21.151813,19.94,1.0,normal
FR001,2025-05-03T14:09:21.151813,19.57,0.98,normal
FR001,2025-05-03T14:39:21.151813,21.69,1.08,normal
FR001,2025-05-03T15:09:21.151813,19.05,0.95,normal
FR001,2025-05-03T15:39:21.151813,22.59,1.13,normal
FR001,2025-05-03T16:09:21.151813,17.36,0.87,normal
FR001,2025-05-03T16:39:21.151813,18.17,0.91,normal
FR001,2025-05-03T17:09:21.151813,17.12,0.86,normal
FR001,2025-05-03T17:39:21.151813,17.69,0.88,normal
FR001,2025-05-03T18:09:21.151813,21.76,1.09,normal
FR001,2025-05-03T18:39:21.151813,44.9,2.25,flood
FR001,2025-05-03T19:09:21.151813,20.81,1.04,normal
FR001,2025-05-03T19:39:21.151813,18.65,0.93,normal
FR001,2025-05-03T20:09:21.151813,14.12,0.71,normal
FR001,2025-05-03T20:39:21.151813,21.51,1.08,normal
FR001,2025-05-03T21:09:21.151813,17.01,0.85,normal
FR001,2025-05-03T21:39:21.151813,19.65,0.98,normal
FR001,2025-05-03T22:09:21.151813,16.95,0.85,normal
FR001,2025-05-03T22:39:21.151813,20.5,1.03,normal
FR001,2025-05-03T23:09:21.151813,17.44,0.87,normal
FR001,2025-05-03T23:39:21.151813,21.43,1.07,normal
FR001,2025-05-04T00:09:21.151813,22.15,1.11,normal
FR001,2025-05-04T00:39:21.151813,19.92,1.0,normal
FR001,2025-05-04T01:09:21.151813,22.92,1.15,normal
FR001,2025-05-04T01:39:21.151813,16.32,0.82,normal
FR001,2025-05-04T02:09:21.151813,21.33,1.07,normal
FR001,2025-05-04T02:39:21.151813,19.67,0.98,normal
FR001,2025-05-04T03:09:21.151813,19.78,0.99,normal
FR001,2025-05-04T03:39:21.151813,19.89,0.99,normal
FR001,2025-05-04T04:09:21.151813,21.08,1.05,normal
FR001,2025-05-04T04:39:21.151813,22.61,1.13,normal
FR001,2025-05-04T05:09:21.151813,17.71,0.89,normal
FR001,2025-05-04T05:39:21.151813,18.19,0.91,normal
FR001,2025-05-04T06:09:21.151813,18.16,0.91,normal
FR001,2025-05-04T06:39:21.151813,14.78,0.74,normal
FR001,2025-05-04T07:09:21.151813,21.5,1.07,normal
FR001,2025-05-04T07:39:21.151813,21.65,1.08,normal
FR001,2025-05-04T08:09:21.151813,16.86,0.84,normal
FR001,2025-05-04T08:39:21.151813,20.65,1.03,normal
FR001,2025-05-04T09:09:21.151813,21.94,1.1,normal
FR001,2025-05-04T09:39:21.151813,21.4,1.07,normal
FR001,2025-05-04T10:09:21.151813,21.31,1.07,normal
FR001,2025-05-04T10:39:21.151813,14.34,0.72,normal
FR001,2025-05-04T11:09:21.151813,19.83,0.99,normal
FR001,2025-05-04T11:39:21.151813,15.62,0.78,normal
FR001,2025-05-04T12:09:21.151813,19.68,0.98,normal
FR001,2025-05-04T12:39:21.151813,19.08,0.95,normal
FR001,2025-05-04T13:09:21.151813,16.98,0.85,normal
FR001,2025-05-04T13:39:21.151813,19.08,0.95,normal
FR001,2025-05-04T14:09:21.151813,20.42,1.02,normal
FR001,2025-05-04T14:39:21.151813,19.47,0.97,normal
FR001,2025-05-04T15:09:21.151813,17.44,0.87,normal
FR001,2025-05-04T15:39:21.151813,17.61,0.88,normal
FR001,2025-05-04T16:09:21.151813,17.47,0.87,normal
FR001,2025-05-04T16:39:21.151813,18.58,0.93,normal
FR001,2025-05-04T17:09:21.151813,17.28,0.86,normal
FR001,2025-05-04T17:39:21.151813,17.49,0.87,normal
FR001,2025-05-04T18:09:21.151813,21.91,1.1,normal
FR001,2025-05-04T18:39:21.151813,22.31,1.12,normal
FR001,2025-05-04T19:09:21.151813,22.43,1.12,normal
FR001,2025-05-04T19:39:21.151813,21.3,1.06,normal
FR001,2025-05-04T20:09:21.151813,19.68,0.98,normal
FR001,2025-05-04T20:39:21.151813,19.8,0.99,normal
FR001,2025-05-04T21:09:21.151813,20.5,1.03,normal
FR001,2025-05-04T21:39:21.151813,16.12,0.81,normal
FR001,2025-05-04T22:09:21.151813,22.45,1.12,normal
FR001,2025-05-04T22:39:21.151813,18.99,0.95,normal
FR001,2025-05-04T23:09:21.151813,16.4,0.82,normal
FR001,2025-05-04T23:39:21.151813,18.97,0.95,normal
FR001,2025-05-05T00:09:21.151813,18.7,0.94,normal
FR001,2025-05-05T00:39:21.151813,20.91,1.05,normal
FR001,2025-05-05T01:09:21.151813,21.3,1.07,normal
FR001,2025-05-05T01:39:21.151813,18.16,0.91,normal
FR001,2025-05-05T02:09:21.151813,20.02,1.0,normal
FR001,2025-05-05T02:39:21.151813,23.39,1.17,normal
FR001,2025-05-05T03:09:21.151813,20.07,1.0,normal
FR001,2025-05-05T03:39:21.151813,20.98,1.05,normal
FR001,2025-05-05T04:09:21.151813,18.46,0.92,normal
FR001,2025-05-05T04:39:21.151813,19.66,0.98,normal
FR001,2025-05-05T05:09:21.151813,22.25,1.11,normal
FR001,2025-05-05T05:39:21.151813,19.99,1.0,normal
FR001,2025-05-05T06:09:21.151813,23.35,1.17,normal
FR001,2025-05-05T06:39:21.151813,19.6,0.98,normal
FR001,2025-05-05T07:09:21.151813,18.63,0.93,normal
FR001,2025-05-05T07:39:21.151813,18.06,0.9,normal
FR001,2025-05-05T08:09:21.151813,21.17,1.06,normal
FR001,2025-05-05T08:39:21.151813,18.89,0.94,normal
FR001,2025-05-05T09:09:21.151813,17.51,0.88,normal
FR001,2025-05-05T09:39:21.151813,20.23,1.01,normal
FR001,2025-05-05T10:09:21.151813,18.62,0.93,normal
FR001,2025-05-05T10:39:21.151813,18.05,0.9,normal
FR001,2025-05-05T11:09:21.151813,20.9,1.04,normal
FR001,2025-05-05T11:39:21.151813,19.9,0.99,normal
FR001,2025-05-05T12:09:21.151813,19.02,0.95,normal
FR001,2025-05-05T12:39:21.151813,20.87,1.04,normal
FR001,2025-05-05T13:09:21.151813,16.62,0.83,normal
FR001,2025-05-05T13:39:21.151813,20.07,1.0,normal
FR001,2025-05-05T14:09:21.151813,19.85,0.99,normal
FR001,2025-05-05T14:39:21.151813,20.27,1.01,normal
FR001,2025-05-05T15:09:21.151813,19.78,0.99,normal
FR001,2025-05-05T15:39:21.151813,19.44,0.97,normal
FR001,2025-05-05T16:09:21.151813,15.31,0.77,normal
FR001,2025-05-05T16:39:21.151813,23.03,1.15,normal
FR001,2025-05-05T17:09:21.151813,19.6,0.98,normal
FR001,2025-05-05T17:39:21.151813,21.25,1.06,normal
FR001,2025-05-05T18:09:21.151813,17.37,0.87,normal
FR001,2025-05-05T18:39:21.151813,17.98,0.9,normal
FR001,2025-05-05T19:09:21.151813,19.29,0.96,normal
FR001,2025-05-05T19:39:21.151813,20.06,1.0,normal
FR001,2025-05-05T20:09:21.151813,16.9,0.85,normal
FR001,2025-05-05T20:39:21.151813,16.87,0.84,normal
FR001,2025-05-05T21:09:21.151813,18.88,0.94,normal
FR001,2025-05-05T21:39:21.151813,39.6,1.98,high
FR001,2025-05-05T22:09:21.151813,23.07,1.15,normal
FR001,2025-05-05T22:39:21.151813,17.57,0.88,normal
FR001,2025-05-05T23:09:21.151813,19.47,0.97,normal
FR001,2025-05-05T23:39:21.151813,18.6,0.93,normal
FR001,2025-05-06T00:09:21.151813,19.3,0.97,normal
FR001,2025-05-06T00:39:21.151813,20.86,1.04,normal
FR001,2025-05-06T01:09:21.151813,15.0,0.75,normal
FR001,2025-05-06T01:39:21.151813,17.94,0.9,normal
FR001,2025-05-06T02:09:21.151813,19.25,0.96,normal
FR001,2025-05-06T02:39:21.151813,17.66,0.88,normal
FR001,2025-05-06T03:09:21.151813,17.98,0.9,normal
FR001,2025-05-06T03:39:21.151813,20.16,1.01,normal
FR001,2025-05-06T04:09:21.151813,18.12,0.91,normal
FR001,2025-05-06T04:39:21.151813,16.93,0.85,normal
FR001,2025-05-06T05:09:21.151813,17.05,0.85,normal
FR001,2025-05-06T05:39:21.151813,20.13,1.01,normal
FR001,2025-05-06T06:09:21.151813,19.06,0.95,normal
FR001,2025-05-06T06:39:21.151813,19.13,0.96,normal
FR001,2025-05-06T07:09:21.151813,21.45,1.07,normal
FR001,2025-05-06T07:39:21.151813,20.14,1.01,normal
FR001,2025-05-06T08:09:21.151813,14.91,0.75,normal
FR001,2025-05-06T08:39:21.151813,23.6,1.18,normal
FR001,2025-05-06T09:09:21.151813,21.72,1.09,normal
FR001,2025-05-06T09:39:21.151813,22.72,1.14,normal
FR001,2025-05-06T10:09:21.151813,20.85,1.04,normal
FR001,2025-05-06T10:39:21.151813,19.81,0.99,normal
FR001,2025-05-06T11:09:21.151813,15.84,0.79,normal
FR001,2025-05-06T11:39:21.151813,18.86,0.94,normal
FR001,2025-05-06T12:09:21.151813,18.49,0.92,normal
FR001,2025-05-06T12:39:21.151813,18.39,0.92,normal
FR001,2025-05-06T13:09:21.151813,18.71,0.94,normal
FR001,2025-05-06T13:39:21.151813,43.45,2.17,flood
FR001,2025-05-06T14:09:21.151813,18.98,0.95,normal
FR001,2025-05-06T14:39:21.151813,40.24,2.01,flood
FR001,2025-05-06T15:09:21.151813,19.74,0.99,normal
FR001,2025-05-06T15:39:21.151813,19.23,0.96,normal
FR001,2025-05-06T16:09:21.151813,16.77,0.84,normal
FR001,2025-05-06T16:39:21.151813,21.25,1.06,normal
FR001,2025-05-06T17:09:21.151813,21.55,1.08,normal
FR001,2025-05-06T17:39:21.151813,19.39,0.97,normal
FR001,2025-05-06T18:09:21.151813,19.28,0.96,normal
FR001,2025-05-06T18:39:21.151813,18.66,0.93,normal
FR001,2025-05-06T19:09:21.151813,17.94,0.9,normal
FR001,2025-05-06T19:39:21.151813,20.25,1.01,normal
FR001,2025-05-06T20:09:21.151813,21.1,1.06,normal
FR001,2025-05-06T20:39:21.151813,18.23,0.91,normal
FR001,2025-05-06T21:09:21.151813,20.01,1.0,normal
FR001,2025-05-06T21:39:21.151813,20.07,1.0,normal
FR001,2025-05-06T22:09:21.151813,17.3,0.86,normal
FR001,2025-05-06T22:39:21.151813,17.04,0.85,normal
FR001,2025-05-06T23:09:21.151813,17.76,0.89,normal
FR001,2025-05-06T23:39:21.151813,21.51,1.08,normal
FR001,2025-05-07T00:09:21.151813,17.68,0.88,normal
FR001,2025-05-07T00:39:21.151813,17.76,0.89,normal
FR001,2025-05-07T01:09:21.151813,19.89,0.99,normal
FR001,2025-05-07T01:39:21.151813,19.65,0.98,normal
FR001,2025-05-07T02:09:21.151813,19.42,0.97,normal
FR001,2025-05-07T02:39:21.151813,22.64,1.13,normal
FR001,2025-05-07T03:09:21.151813,21.45,1.07,normal
FR001,2025-05-07T03:39:21.151813,16.3,0.82,normal
FR001,2025-05-07T04:09:21.151813,18.68,0.93,normal
FR001,2025-05-07T04:39:21.151813,18.94,0.95,normal
FR001,2025-05-07T05:09:21.151813,18.99,0.95,normal
FR001,2025-05-07T05:39:21.151813,16.63,0.83,normal
FR001,2025-05-07T06:09:21.151813,21.08,1.05,normal
FR001,2025-05-07T06:39:21.151813,19.56,0.98,normal
FR001,2025-05-07T07:09:21.151813,19.29,0.96,normal
FR001,2025-05-07T07:39:21.151813,20.75,1.04,normal
FR001,2025-05-07T08:09:21.151813,16.9,0.84,normal
FR001,2025-05-07T08:39:21.151813,18.97,0.95,normal
FR001,2025-05-07T09:09:21.151813,21.79,1.09,normal
FR001,2025-05-07T09:39:21.151813,19.38,0.97,normal
